case_id,source_layer,source_layer_name,source_id,parent_type,type_name,street_address,city_name,created_at,last_action_at,closed_at,status_desc,comments,department,division,dept_div,dept_div_id,category_zh,status_zh,keywords_zh,retrieval_text_zh,raw_text_en,dataset_split
br311-0-1026734,0,Open or In-Progress Status,1026734,STREET/TRAFFIC ISSUES,REQUEST SAFETY STUDY,330 S 19TH ST,BATON ROUGE,2024-04-04T21:02:00+00:00,2026-01-20T13:38:00+00:00,,IN PROGRESS,"SCHOOL ZONE, SPEEDING , NEED SPEED BUMPS IN ROAD!!!",TRANSPORTATION AND DEVELOPMENT,TRAFFIC ENGINEERING,TAD - TRAFFIC ENGINEERING,66,街道与交通,处理中,街道、交通、信号灯、标志,事项类别：街道与交通；关键词：街道、交通、信号灯、标志；事项状态：处理中,"STREET/TRAFFIC ISSUES REQUEST SAFETY STUDY SCHOOL ZONE, SPEEDING , NEED SPEED BUMPS IN ROAD!!! TRANSPORTATION AND DEVELOPMENT TRAFFIC ENGINEERING",retrieval
br311-0-1026781,0,Open or In-Progress Status,1026781,"DRAINAGE, EROSION, FLOODING OR HOLES",NON-ROADSIDE DRAINAGE ISSUE,2400 LORRAINE ST,BATON ROUGE,2024-04-04T23:45:00+00:00,2024-04-08T13:01:00+00:00,,IN PROGRESS,"CLOGG DRAINAGE DITCH IN THE 2400 BLOCK OF LORRAINE ST. AT BATON ROUGE AVE., PLEASE INSPECT TO PREVENT FLOODING IN THE AREA.",MAINTENANCE,DRAINAGE MAINTENANCE,DOM - DRAINAGE MAINTENANCE,62,排水、积水与洪涝,处理中,排水、积水、内涝、洪涝、排水沟,事项类别：排水、积水与洪涝；关键词：排水、积水、内涝、洪涝、排水沟；事项状态：处理中,"DRAINAGE, EROSION, FLOODING OR HOLES NON-ROADSIDE DRAINAGE ISSUE CLOGG DRAINAGE DITCH IN THE 2400 BLOCK OF LORRAINE ST. AT BATON ROUGE AVE., PLEASE INSPECT TO PREVENT FLOODING IN THE AREA. MAINTENANCE DRAINAGE MAINTENANCE",retrieval
br311-0-1034409,0,Open or In-Progress Status,1034409,"DRAINAGE, EROSION, FLOODING OR HOLES",NON-ROADSIDE VEGETATION IN A DITCH,1338 ABERDEEN AVE,BATON ROUGE,2024-04-29T22:02:00+00:00,2026-03-26T14:00:00+00:00,,IN PROGRESS,THE OPEN DITCH THAT RUNS ALONG SIDE OF 1338 ABERDEEN AND WHICH CATCHES WATER FROM MAJOR PIPES TO ENSURE DRAINAGE OF THOSE MAJOR PIPES HAS VEGETATION GROWTH THAT COULD BLOCK THE OUTWARD FLOW OF WATER ENTERING THAT DITCH FROM 2-3 OTHER SIDES.,MAINTENANCE,DRAINAGE MAINTENANCE,DOM - DRAINAGE MAINTENANCE,62,排水、积水与洪涝,处理中,排水、积水、内涝、洪涝、排水沟,事项类别：排水、积水与洪涝；关键词：排水、积水、内涝、洪涝、排水沟；事项状态：处理中,"DRAINAGE, EROSION, FLOODING OR HOLES NON-ROADSIDE VEGETATION IN A DITCH THE OPEN DITCH THAT RUNS ALONG SIDE OF 1338 ABERDEEN AND WHICH CATCHES WATER FROM MAJOR PIPES TO ENSURE DRAINAGE OF THOSE MAJOR PIPES HAS VEGETATION GROWTH THAT COULD BLOCK THE OUTWARD FLOW OF WATER ENTERING THAT DITCH FROM 2-3 OTHER SIDES. MAINTENANCE DRAINAGE MAINTENANCE",retrieval
br311-0-1037482,0,Open or In-Progress Status,1037482,STREET/TRAFFIC ISSUES,REQUEST A TRAFFIC SIGNAL STUDY,S FOSTER DR,BATON ROUGE,2024-05-09T18:16:00+00:00,2025-02-03T21:02:00+00:00,,IN PROGRESS,HAWK BEACON IS BEING REQUESTED FOR CROSSING CAPITAL HEIGHTS AT S FOSTER.,TRANSPORTATION AND DEVELOPMENT,TRAFFIC ENGINEERING,TAD - TRAFFIC ENGINEERING,66,街道与交通,处理中,街道、交通、信号灯、标志,事项类别：街道与交通；关键词：街道、交通、信号灯、标志；事项状态：处理中,STREET/TRAFFIC ISSUES REQUEST A TRAFFIC SIGNAL STUDY HAWK BEACON IS BEING REQUESTED FOR CROSSING CAPITAL HEIGHTS AT S FOSTER. TRANSPORTATION AND DEVELOPMENT TRAFFIC ENGINEERING,test
br311-0-1040367,0,Open or In-Progress Status,1040367,"DRAINAGE, EROSION, FLOODING OR HOLES",REQUEST REMOVAL OF DEBRIS IN A DITCH/WATERWAY,5948 RIVERBEND BLVD,BATON ROUGE,2024-05-15T23:27:00+00:00,2026-05-19T13:50:00+00:00,,IN PROGRESS,TREES IS DITCH - CAUSING DEBRIS TO PILL UP -- CAUSING WATER FLOW BACKUP.,MAINTENANCE,DRAINAGE MAINTENANCE,DOM - DRAINAGE MAINTENANCE,62,排水、积水与洪涝,处理中,排水、积水、内涝、洪涝、排水沟,事项类别：排水、积水与洪涝；关键词：排水、积水、内涝、洪涝、排水沟；事项状态：处理中,"DRAINAGE, EROSION, FLOODING OR HOLES REQUEST REMOVAL OF DEBRIS IN A DITCH/WATERWAY TREES IS DITCH - CAUSING DEBRIS TO PILL UP -- CAUSING WATER FLOW BACKUP. MAINTENANCE DRAINAGE MAINTENANCE",retrieval
br311-0-1042523,0,Open or In-Progress Status,1042523,"DRAINAGE, EROSION, FLOODING OR HOLES",NON-ROADSIDE DRAINAGE ISSUE,8378 GREENMOSS DR,BATON ROUGE,2024-05-22T20:59:00+00:00,2024-05-23T13:51:00+00:00,,IN PROGRESS,CALLER IS REQUESTING THAT THE DITCH ON SIDE OF ABOVE ADDRESS BE CLEANED OUT.,MAINTENANCE,DRAINAGE MAINTENANCE,DOM - DRAINAGE MAINTENANCE,62,排水、积水与洪涝,处理中,排水、积水、内涝、洪涝、排水沟,事项类别：排水、积水与洪涝；关键词：排水、积水、内涝、洪涝、排水沟；事项状态：处理中,"DRAINAGE, EROSION, FLOODING OR HOLES NON-ROADSIDE DRAINAGE ISSUE CALLER IS REQUESTING THAT THE DITCH ON SIDE OF ABOVE ADDRESS BE CLEANED OUT. MAINTENANCE DRAINAGE MAINTENANCE",retrieval
br311-0-1042858,0,Open or In-Progress Status,1042858,"DRAINAGE, EROSION, FLOODING OR HOLES",ROADSIDE DRAINAGE ISSUE,2797 75TH AVE,BATON ROUGE,2024-05-23T18:59:00+00:00,2024-05-28T14:26:00+00:00,,IN PROGRESS,CALLER STATED THAT THERE IS WATER SITTING IN THE DITCH AND CAUSES THE FRONT YARD TO FLOOD BECAUSE IT DOESNT DRAIN,MAINTENANCE,DRAINAGE MAINTENANCE,DOM - DRAINAGE MAINTENANCE,62,排水、积水与洪涝,处理中,排水、积水、内涝、洪涝、排水沟,事项类别：排水、积水与洪涝；关键词：排水、积水、内涝、洪涝、排水沟；事项状态：处理中,"DRAINAGE, EROSION, FLOODING OR HOLES ROADSIDE DRAINAGE ISSUE CALLER STATED THAT THERE IS WATER SITTING IN THE DITCH AND CAUSES THE FRONT YARD TO FLOOD BECAUSE IT DOESNT DRAIN MAINTENANCE DRAINAGE MAINTENANCE",retrieval
br311-0-1044643,0,Open or In-Progress Status,1044643,"DRAINAGE, EROSION, FLOODING OR HOLES",NON-ROADSIDE VEGETATION IN A DITCH,488 MAXINE DR,BATON ROUGE,2024-05-30T17:15:00+00:00,2024-05-31T14:07:00+00:00,,IN PROGRESS,THE DRAINAGE DITCH BEHIND THE HOME BETWEEN BOONE DR AND MENLO DR IS OVERGROWN NEED TO BE CUT,MAINTENANCE,DRAINAGE MAINTENANCE,DOM - DRAINAGE MAINTENANCE,62,排水、积水与洪涝,处理中,排水、积水、内涝、洪涝、排水沟,事项类别：排水、积水与洪涝；关键词：排水、积水、内涝、洪涝、排水沟；事项状态：处理中,"DRAINAGE, EROSION, FLOODING OR HOLES NON-ROADSIDE VEGETATION IN A DITCH THE DRAINAGE DITCH BEHIND THE HOME BETWEEN BOONE DR AND MENLO DR IS OVERGROWN NEED TO BE CUT MAINTENANCE DRAINAGE MAINTENANCE",retrieval
br311-0-1048784,0,Open or In-Progress Status,1048784,"DRAINAGE, EROSION, FLOODING OR HOLES",ROADSIDE DRAINAGE ISSUE,1128 HECK YOUNG RD,BAKER,2024-06-11T19:53:00+00:00,2024-06-26T15:33:00+00:00,,IN PROGRESS,CALLER STATED THAT THE DITCH IN FRONT OF THE HOME IS BACK UP,MAINTENANCE,DRAINAGE MAINTENANCE,DOM - DRAINAGE MAINTENANCE,62,排水、积水与洪涝,处理中,排水、积水、内涝、洪涝、排水沟,事项类别：排水、积水与洪涝；关键词：排水、积水、内涝、洪涝、排水沟；事项状态：处理中,"DRAINAGE, EROSION, FLOODING OR HOLES ROADSIDE DRAINAGE ISSUE CALLER STATED THAT THE DITCH IN FRONT OF THE HOME IS BACK UP MAINTENANCE DRAINAGE MAINTENANCE",retrieval
br311-0-1049155,0,Open or In-Progress Status,1049155,MOWING AND TREE ISSUES,REQUEST REMOVAL/TRIMMING OF TREE,722 N FOSTER DR,BATON ROUGE,2024-06-12T18:50:00+00:00,2024-08-27T11:50:00+00:00,,IN PROGRESS,"WEDNESDAY JUNE 12, 2024; DIRECTLY ON NORTH FOSTER DRIVE, BETWEEN NORTH STREET AND GUS YOUNG AVE ON THE SIDEWALK NEEDS ALL OF THE SIDEWALKS NEED TO BE CLEARED/CLEANED OF DEBRIS & OVERGROWN GRASS. PEDESTRIANS/SCHOOL AGED CHILDREN IS WALKING IN THE STREET INTO INCOMING TRAFFIC. DANGEROUS FOR PEDESTRIANS/CHILDREN WHO CONSTANTLY WALK IN THIS AREA, ARE WALKING INTO THE STREET INTO ONCOMING TRAFFIC. PLEASE ADDRESS ASAP, BEFORE ACCIDENT HAPPENS.",MAINTENANCE,LANDSCAPE MAINTENANCE,DOM - LANDSCAPE MAINTENANCE,63,树木和杂草维护,处理中,树木、杂草、修剪、绿化,事项类别：树木和杂草维护；关键词：树木、杂草、修剪、绿化；事项状态：处理中,"MOWING AND TREE ISSUES REQUEST REMOVAL/TRIMMING OF TREE WEDNESDAY JUNE 12, 2024; DIRECTLY ON NORTH FOSTER DRIVE, BETWEEN NORTH STREET AND GUS YOUNG AVE ON THE SIDEWALK NEEDS ALL OF THE SIDEWALKS NEED TO BE CLEARED/CLEANED OF DEBRIS & OVERGROWN GRASS. PEDESTRIANS/SCHOOL AGED CHILDREN IS WALKING IN THE STREET INTO INCOMING TRAFFIC. DANGEROUS FOR PEDESTRIANS/CHILDREN WHO CONSTANTLY WALK IN THIS AREA, ARE WALKING INTO THE STREET INTO ONCOMING TRAFFIC. PLEASE ADDRESS ASAP, BEFORE ACCIDENT HAPPENS. MAINTENANCE LANDSCAPE MAINTENANCE",retrieval
br311-0-1049570,0,Open or In-Progress Status,1049570,STREET/TRAFFIC ISSUES,ROAD STRIPING NEEDED,13770 MILLERVILLE GREENS BLVD,BATON ROUGE,2024-06-13T17:07:00+00:00,2024-06-13T17:07:00+00:00,,OPEN,YELLOW ROAD STRIPING IS COMPLETELY GONE FROM MILLERVILLE GREENS BLVD. EXTENSION TO TARGETS PARKING LOT.  THIS LEADS TO CONFUSION ON THE PART OF DRIVERS ENTERING AND EXITING THE TARGET PARKING LOT WITH THE POTENTIAL FOR HEAD-ON COLLISIONS.,TRANSPORTATION AND DEVELOPMENT,TRAFFIC ENGINEERING,TAD - TRAFFIC ENGINEERING,66,街道与交通,待处理,街道、交通、信号灯、标志,事项类别：街道与交通；关键词：街道、交通、信号灯、标志；事项状态：待处理,STREET/TRAFFIC ISSUES ROAD STRIPING NEEDED YELLOW ROAD STRIPING IS COMPLETELY GONE FROM MILLERVILLE GREENS BLVD. EXTENSION TO TARGETS PARKING LOT.  THIS LEADS TO CONFUSION ON THE PART OF DRIVERS ENTERING AND EXITING THE TARGET PARKING LOT WITH THE POTENTIAL FOR HEAD-ON COLLISIONS. TRANSPORTATION AND DEVELOPMENT TRAFFIC ENGINEERING,retrieval
br311-0-1050204,0,Open or In-Progress Status,1050204,MOWING AND TREE ISSUES,REQUEST FOR MOWING,,BATON ROUGE,2024-06-14T18:41:00+00:00,2024-07-19T13:37:00+00:00,,IN PROGRESS,CAN WE GET THE CONCRETE ISLANDS AT ESSEN LANE AND PERKINS ROAD CLEARED OF WEEDS?  THIS IS A NICE AREA OF TOWN BUT THE CONCRETE ISLANDS LOOK TERRIBLE.,MAINTENANCE,LANDSCAPE MAINTENANCE,DOM - LANDSCAPE MAINTENANCE,63,树木和杂草维护,处理中,树木、杂草、修剪、绿化,事项类别：树木和杂草维护；关键词：树木、杂草、修剪、绿化；事项状态：处理中,MOWING AND TREE ISSUES REQUEST FOR MOWING CAN WE GET THE CONCRETE ISLANDS AT ESSEN LANE AND PERKINS ROAD CLEARED OF WEEDS?  THIS IS A NICE AREA OF TOWN BUT THE CONCRETE ISLANDS LOOK TERRIBLE. MAINTENANCE LANDSCAPE MAINTENANCE,retrieval
br311-0-1051190,0,Open or In-Progress Status,1051190,BLIGHTED PROPERTIES,PROPERTY NEEDS TO BE CONDEMNED OR TORN DOWN,5566 GEORGE ST,BATON ROUGE,2024-06-19T15:16:00+00:00,2024-11-15T15:54:00+00:00,,IN PROGRESS,OCCUPIED PROPERTY FRONT AND BACK YARD IS OVERGROWN NEED TO BE CUT,DEVELOPMENT,BLIGHT ENFORCEMENT,DOD - BLIGHT ENFORCEMENT,59,环境卫生与失管物业,处理中,失管物业、环境卫生、废弃房屋,事项类别：环境卫生与失管物业；关键词：失管物业、环境卫生、废弃房屋；事项状态：处理中,BLIGHTED PROPERTIES PROPERTY NEEDS TO BE CONDEMNED OR TORN DOWN OCCUPIED PROPERTY FRONT AND BACK YARD IS OVERGROWN NEED TO BE CUT DEVELOPMENT BLIGHT ENFORCEMENT,retrieval
br311-0-1051763,0,Open or In-Progress Status,1051763,"DRAINAGE, EROSION, FLOODING OR HOLES",REQUEST REMOVAL OF DEBRIS IN A DITCH/WATERWAY,6065 BENTLEY DR,BAKER,2024-06-20T19:43:00+00:00,2024-06-25T19:03:00+00:00,,IN PROGRESS,CALLER STATED THAT A TREE IS IN THE CANAL BEHIND THIS ADDRESS NEEDS TO BE CLEAN OUT.,MAINTENANCE,DRAINAGE MAINTENANCE,DOM - DRAINAGE MAINTENANCE,62,排水、积水与洪涝,处理中,排水、积水、内涝、洪涝、排水沟,事项类别：排水、积水与洪涝；关键词：排水、积水、内涝、洪涝、排水沟；事项状态：处理中,"DRAINAGE, EROSION, FLOODING OR HOLES REQUEST REMOVAL OF DEBRIS IN A DITCH/WATERWAY CALLER STATED THAT A TREE IS IN THE CANAL BEHIND THIS ADDRESS NEEDS TO BE CLEAN OUT. MAINTENANCE DRAINAGE MAINTENANCE",retrieval
br311-0-1053263,0,Open or In-Progress Status,1053263,GARBAGE,REQUEST DEBRIS REMOVAL - UNOCCUPIED PROPERTY,3251 TECUMSEH ST,BATON ROUGE,2024-06-26T01:48:00+00:00,2024-06-26T11:42:00+00:00,,IN PROGRESS,TRASH IN THE RIGHT OF WAY. ACROSS FROM 3251 TECUMSEH,DEVELOPMENT,BLIGHT ENFORCEMENT,DOD - BLIGHT ENFORCEMENT,59,垃圾处理,处理中,垃圾、垃圾收集、垃圾清运,事项类别：垃圾处理；关键词：垃圾、垃圾收集、垃圾清运；事项状态：处理中,GARBAGE REQUEST DEBRIS REMOVAL - UNOCCUPIED PROPERTY TRASH IN THE RIGHT OF WAY. ACROSS FROM 3251 TECUMSEH DEVELOPMENT BLIGHT ENFORCEMENT,retrieval
